,상권_코드,상권_코드_명,위도,경도,총_유동인구_수,당월_매출_금액
611,3110809,장훈고등학교,37.51237559866575,126.91563253349054,414795,2401783081
612,3110653,화곡역 2번,37.54464527300884,126.8414670572051,1147966,3022640008
613,3110608,신월2동주민센터,37.52508137526259,126.84586386894,1084416,983327260
614,3110609,신정네거리역 2번,37.52168871335585,126.84904958349271,875069,317329061
615,3110610,계남근린공원,37.51653636130315,126.85013454972928,730109,211523407
616,3110699,덕의초등학교,37.50613618422084,126.85527871714596,441014,2117970340
617,3110700,고척초등학교,37.501976069275166,126.85735633995355,1090581,194326388
618,3110623,갈산공원,37.50699100309611,126.86978780742024,87723,1193955729
619,3110624,목동문화체육센터,37.54123044776576,126.8710408462082,443219,249532613
620,3110625,신정2동주민센터,37.51844482895093,126.87167959095326,967689,12996255719
621,3110626,양화초등학교,37.54452164704416,126.87340015358664,1410773,910402298
622,3110654,까치산역 4번,37.53303109083656,126.8412427376533,2680397,8959328026
623,3110655,발산역 5번,37.55716160635443,126.84257230285236,380124,5143433519
624,3110562,연트럴파크(연남동주민센터),37.56376488708946,126.9233391686964,987231,3321850392
625,3110751,난곡중학교,37.47809476583462,126.90692050938276,1055356,1093983731
626,3110752,한울중학교,37.46170696090743,126.90894149141734,747669,6988343547
627,3110684,서울공연예술고등학교,37.49865116120828,126.8299728778762,71871,821344254
628,3110685,금강수목원아파트,37.49014924635146,126.8324797926798,72688,807133145
629,3110686,수궁동주민센터,37.49463862074765,126.83415467880374,794939,3132518118
630,3110707,구로창업지원센터,37.50981240722823,126.87946463909496,854581,1925774340
631,3110708,화원어린이공원,37.49791195977646,126.88127053475066,467991,152254433
632,3110709,구로119안전센터,37.49392980227567,126.88155953983662,1191350,777371584
633,3110710,남구로역 3번,37.486886294270526,126.88394512624056,2380967,11823427715
634,3110711,구로초등학교,37.49662631952319,126.88408837350632,1257169,3064961668
635,3110712,남구로역 5번,37.487447465830186,126.88656749689856,2306530,5154539276
636,3110668,화곡2동주민센터,37.53247006333166,126.85331580752784,1758992,5219352429
637,3110669,화곡보람2차아파트,37.552923598728135,126.8540113311599,64310,113960329
638,3110670,신곡초등학교,37.53553664636465,126.85590077983863,1377501,1738405939
639,3110726,금천철쭉어린이공원(금하마을),37.45329404179641,126.8906764836956,289043,837824520
640,3110815,공군호텔,37.51166828712483,126.9221596147489,1259981,10633170174
641,3110816,대방역 6번,37.51479573571652,126.9236381327389,821619,964253397
642,3110737,금천세무서,37.47653113040603,126.9009079649416,717999,1336790320
643,3110738,문성초등학교,37.472305721353386,126.90129790602968,636879,9413216304
644,3110739,시흥3동 우편취급국,37.44114999204755,126.9028417553999,23120,114629198
645,3110713,구로보건소,37.50126053635339,126.88723646192494,2855470,10200429318
646,3110759,문래예술촌(문래창작촌),37.51476153758128,126.89145784534162,3498057,64663998496
647,3110760,선유도역 6번,37.53636842243933,126.89239957829112,725634,8383880965
648,3110762,선유도역 1번,37.54030612628488,126.89276731629242,1748275,13385394376
649,3110612,신정역 5번,37.52343623301962,126.85592405599932,2073018,3219673778
650,3110613,신정네거리역 4번,37.51927420530179,126.85641846880668,231878,629596529
651,3110614,목동로데오거리,37.52810868319106,126.8603045895597,510923,2545917400
652,3110615,신서초등학교,37.520964822449145,126.86122287881128,283324,5274629224
