번호,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도,데이터기준일자
82,양천구,41,목동동로350,목5단지 B상가 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
83,양천구,42,목동동로350,목5단지 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
84,양천구,42,목동동로350,목5단지 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
85,양천구,43,목동서로77,파리공원 사잇길,④ 광장 등 다중집합장소,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
86,양천구,43,목동서로77,파리공원 사잇길,④ 광장 등 다중집합장소,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
87,양천구,44,오목로285,7단지 버스정류장,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
88,양천구,44,오목로285,7단지 버스정류장,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
89,양천구,45,오목로232,목동오거리 보성상가 버스정류장,② 지하철역 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
90,양천구,45,오목로232,목동오거리 보성상가 버스정류장,② 지하철역 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
91,양천구,46,남부순환로514,GM자동차 서비스앞,⑥ 횡단보도 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2019년,2023-01-21
92,양천구,46,남부순환로514,GM자동차 서비스앞,⑥ 횡단보도 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2019년,2023-01-21
93,양천구,47,목동동로130,양천공원 버스정류장앞,② 지하철역 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2019년,2023-01-21
94,양천구,47,목동동로130,양천공원 버스정류장앞,② 지하철역 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2019년,2023-01-21
95,양천구,48,남부순환로368,신월3동 우체국앞,③ 도로(가로)변,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
96,양천구,48,남부순환로368,신월3동 우체국앞,③ 도로(가로)변,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
97,양천구,49,오목로101,신월동 양강초교 앞,③ 도로(가로)변,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
98,양천구,49,오목로101,신월동 양강초교 앞,③ 도로(가로)변,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
99,양천구,50,오목로31,신월동 강서초교 앞,③ 도로(가로)변,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
100,양천구,50,오목로31,신월동 강서초교 앞,③ 도로(가로)변,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
101,양천구,51,안양천로,신목동역 3번출구앞,② 지하철역 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
102,양천구,51,안양천로,신목동역 3번출구앞,② 지하철역 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
103,양천구,52,목동로173,진명여고 건너편(락감식당앞),⑥ 횡단보도 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
104,양천구,52,목동로173,진명여고 건너편(락감식당앞),⑥ 횡단보도 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
105,양천구,53,목동로170,진명여고 앞,⑥ 횡단보도 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
106,양천구,53,목동로170,진명여고 앞,⑥ 횡단보도 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
