구,동,인구,면적,인구밀도,연도
성북구,길음1동,36568,0.79,46289,2020
성북구,길음2동,17167,0.58,29598,2020
성북구,월곡1동,27108,0.81,33467,2020
성북구,월곡2동,20396,1.36,14997,2020
성북구,장위1동,20449,0.70,29213,2020
성북구,장위2동,14106,0.67,21054,2020
성북구,장위3동,17359,0.65,26706,2020
성북구,성북동,17404,2.86,6085,2020
성북구,삼선동,24144,0.92,26243,2020
성북구,동선동,16246,0.73,22255,2020
성북구,종암동,41353,1.46,28324,2020
성북구,석관동,36483,1.73,21088,2020
강북구,번1동,19441,0.66,29456,2020
강북구,번2동,16544,0.95,17415,2020
강북구,번3동,17605,1.10,16005,2020
강북구,수유1동,21468,1.67,12855,2020
강북구,수유2동,21595,0.57,37886,2020
강북구,수유3동,23907,0.72,33204,2020
강북구,삼양동,24742,0.91,27189,2020
강북구,미아동,22723,0.93,24433,2020
강북구,송중동,30934,1.01,30628,2020
강북구,송천동,27871,0.90,30968,2020
강북구,삼각산동,32118,0.62,51803,2020
강북구,우이동,21076,10.28,2050,2020
강북구,인수동,31545,3.28,9617,2020
도봉구,쌍문1동,22016,1.24,17755,2020
도봉구,쌍문2동,19406,0.54,35937,2020
도봉구,쌍문3동,16922,0.50,33844,2020
도봉구,쌍문4동,19297,0.52,37110,2020
도봉구,방학1동,29236,0.69,42371,2020
도봉구,방학2동,20473,0.74,27666,2020
도봉구,방학3동,27973,2.62,10677,2020
도봉구,창1동,25400,0.88,28864,2020
도봉구,창2동,29912,1.05,28488,2020
도봉구,창3동,14402,0.67,21496,2020
도봉구,창4동,27286,0.95,28722,2020
도봉구,창5동,25308,0.70,36154,2020
도봉구,도봉1동,21810,8.72,2501,2020
도봉구,도봉2동,27920,0.83,33639,2020
노원구,월계1동,23085,1.16,19901,2020
노원구,월계2동,27615,1.94,14235,2020
노원구,월계3동,30790,1.17,26316,2020
노원구,공릉2동,40360,6.82,5918,2020
노원구,하계1동,27965,1.55,18042,2020
노원구,하계2동,22723,0.51,44555,2020
노원구,중계본동,24942,1.97,12661,2020
노원구,중계1동,27556,0.63,43740,2020
노원구,중계4동,20752,1.70,12207,2020
노원구,상계1동,39204,5.62,6976,2020
노원구,상계2동,20692,0.61,33921,2020
노원구,상계5동,24797,0.44,56357,2020
노원구,상계8동,22963,0.67,34273,2020
노원구,상계9동,21221,0.81,26199,2020
노원구,상계10동,17631,0.80,22039,2020
노원구,상계3.4동,27184,5.62,4837,2020
노원구,상계6.7동,33642,1.11,30308,2020
노원구,중계2.3동,35586,0.90,39540,2020
노원구,공릉1동,38324,1.41,27180,2020
은평구,녹번동,37815,1.79,21126,2020
은평구,불광1동,40022,3.13,12787,2020
은평구,갈현1동,23396,0.97,24120,2020
은평구,갈현2동,29239,0.96,30457,2020
은평구,구산동,32997,1.38,23911,2020
은평구,대조동,27579,0.85,32446,2020
은평구,응암1동,31265,1.20,26054,2020
은평구,응암2동,27776,0.78,35610,2020
은평구,신사1동,27776,0.84,33067,2020
은평구,신사2동,20945,1.00,20945,2020
은평구,증산동,15487,0.81,19120,2020
은평구,수색동,11258,1.29,8727,2020
은평구,진관동,57256,11.53,4966,2020
은평구,불광2동,28740,1.38,20826,2020
은평구,응암3동,25553,0.63,40560,2020
은평구,역촌동,46939,1.16,40465,2020
서대문구,천연동,18049,0.97,18607,2020
서대문구,홍제1동,24604,1.23,20003,2020
서대문구,홍제3동,15983,1.05,15222,2020
서대문구,홍제2동,14334,0.81,17696,2020
서대문구,홍은1동,23266,1.58,14725,2020
서대문구,홍은2동,27734,2.06,13463,2020
서대문구,남가좌1동,16141,0.51,31649,2020
서대문구,남가좌2동,30996,0.77,40255,2020
